Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,959585,1,11BML23,11BML23,F,0.01,
BSE,959584,1,91JMFCSL23,91JMFCSL23,F,0.01,
BSE,959583,1,85AL23,85AL23,F,0.01,
BSE,959582,1,59GIL23,59GIL23,F,0.01,
BSE,959581,1,725HDFC30,725HDFC30,F,0.01,
BSE,959580,1,925VHFCL23A,925VHFCL23A,F,0.01,
BSE,959579,1,72SPTL23,72SPTL23,F,0.01,
BSE,959578,1,115MFIL23,115MFIL23,F,0.01,
BSE,959575,1,1025ISFCL23,1025ISFCL23,F,0.01,
BSE,959573,1,725MMFSL23,725MMFSL23,F,0.01,
BSE,959572,1,775PFCB30,775PFCB30,F,0.01,
BSE,959571,1,672PFCA23,672PFCA23,F,0.01,
BSE,959570,1,83LTFL30,83LTFL30,F,0.01,
BSE,959569,1,11AFPL23,11AFPL23,F,0.01,
BSE,959568,1,118CIFCPL23,118CIFCPL23,F,0.01,
BSE,959567,1,95HFFCIL23,95HFFCIL23,F,0.01,
BSE,959566,1,69IRFC35,69IRFC35,F,0.01,
BSE,959565,1,119FMFL23,119FMFL23,F,0.01,
BSE,959564,1,HDB6JUN20,HDB6JUN20,F,0.01,
BSE,959563,1,925HLFL23,925HLFL23,F,0.01,
BSE,959562,1,855SHFL23,855SHFL23,F,0.01,
BSE,959561,1,725APSEZ23,725APSEZ23,F,0.01,
BSE,959560,1,885WEL23A,885WEL23A,F,0.01,
BSE,959558,1,975EFL23A,975EFL23A,F,0.01,
BSE,959556,1,1125SKFL23A,1125SKFL23A,F,0.01,
BSE,959555,1,925VHFCL23,925VHFCL23,F,0.01,
BSE,959553,1,765SCCL23,765SCCL23,F,0.01,
BSE,959552,1,755NEEPCO28,755NEEPCO28,F,0.01,
BSE,959551,1,975EFL23,975EFL23,F,0.01,
BSE,959550,2,802IHFCL30,802IHFCL30,F,0.01,
BSE,959547,1,683VTL23,683VTL23,F,0.01,
BSE,959546,1,745AFL23,745AFL23,F,0.01,
BSE,959544,1,10UCL23,10UCL23,F,0.01,
BSE,959543,1,9876AFL23,9876AFL23,F,0.01,
BSE,959542,1,8IIL25A,8IIL25A,F,0.01,
BSE,959541,1,91MFL23,91MFL23,F,0.01,
BSE,959540,1,95BEL23B,95BEL23B,F,0.01,
BSE,959539,1,95BEL23A,95BEL23A,F,0.01,
BSE,959538,1,95BEL23,95BEL23,F,0.01,
BSE,959537,1,796REC30,796REC30,F,0.01,
BSE,959536,1,105FSBFL23,105FSBFL23,F,0.01,
BSE,959535,1,72834HDB23,72834HDB23,F,0.01,
BSE,959534,1,72871HDB23,72871HDB23,F,0.01,
BSE,959532,1,975MFL23B,975MFL23B,F,0.01,
BSE,959530,10,115ISFL23,115ISFL23,F,0.01,
BSE,959529,1,885WEL23,885WEL23,F,0.01,
BSE,959527,1,725APSEZL23,725APSEZL23,F,0.01,
BSE,959526,1,895AEP23,895AEP23,F,0.01,
BSE,959525,1,875DBL23,875DBL23,F,0.01,
BSE,959524,1,1125SKFL23,1125SKFL23,F,0.01,
BSE,959523,10,1075KFIL23,1075KFIL23,F,0.01,
BSE,959522,1,9878AFL23,9878AFL23,F,0.01,
BSE,959521,1,905MFL23,905MFL23,F,0.01,
BSE,959520,1,88TML23,88TML23,F,0.01,
BSE,959519,1,84LTICL23A,84LTICL23A,F,0.01,
BSE,959518,1,995FRL25,995FRL25,F,0.01,
BSE,959517,1,TSL3JUN20,TSL3JUN20,F,0.01,
BSE,959516,1,675HUDCO30,675HUDCO30,F,0.01,
BSE,959515,1,165PFSPL25,165PFSPL25,F,0.01,
BSE,959514,1,124320PFS23,124320PFS23,F,0.01,
BSE,959513,1,675BFL23,675BFL23,F,0.01,
BSE,959512,1,135AFPL23,135AFPL23,F,0.01,
BSE,959511,1,11AML23,11AML23,F,0.01,
BSE,959510,1,1050AML23,1050AML23,F,0.01,
BSE,959508,1,8IIL25,8IIL25,F,0.01,
BSE,959507,1,665NABARD35,665NABARD35,F,0.01,
BSE,959506,1,1025XFPL23,1025XFPL23,F,0.01,
BSE,959505,1,505IOCL22,505IOCL22,F,0.01,
BSE,959504,1,955IIDL23,955IIDL23,F,0.01,
BSE,959503,1,985ICFL23,985ICFL23,F,0.01,
BSE,959502,1,779PFCL30,779PFCL30,F,0.01,
BSE,959501,1,717PFCL25,717PFCL25,F,0.01,
BSE,959500,1,675PFCL23,675PFCL23,F,0.01,
BSE,959498,1,91THDCL23A,91THDCL23A,F,0.01,
BSE,959497,1,91THDCL23,91THDCL23,F,0.01,
BSE,959496,2,8IHFCL30,8IHFCL30,F,0.01,
BSE,959495,2,745IHFCL24,745IHFCL24,F,0.01,
BSE,959494,1,9STFCL23,9STFCL23,F,0.01,
BSE,959493,100000,1275FSBFL26,1275FSBFL26,F,0.01,
BSE,959492,1,875ABFRL23,875ABFRL23,F,0.01,
BSE,959491,1,89MFL23,89MFL23,F,0.01,
BSE,959489,1,779RECL30,779RECL30,F,0.01,
BSE,959488,1,AFPL15MAY20,AFPL15MAY20,F,0.01,
BSE,959487,1,91IHFL23A,91IHFL23A,F,0.01,
BSE,959486,1,RIL19MAY20,RIL19MAY20,F,0.01,
BSE,959485,1,58NHB23,58NHB23,F,0.01,
BSE,959484,1,774IREDA30,774IREDA30,F,0.01,
BSE,959482,2,72IHFCL22,72IHFCL22,F,0.01,
BSE,959481,1,825TSL23,825TSL23,F,0.01,
BSE,959480,1,9MFL23A,9MFL23A,F,0.01,
BSE,959479,10,EFIL18MAY20,EFIL18MAY20,F,0.01,
BSE,959478,1,768PFCL30,768PFCL30,F,0.01,
BSE,959477,1,725LTL24,725LTL24,F,0.01,
BSE,959476,10,USFBL8MAY20,USFBL8MAY20,F,0.01,
BSE,959475,1,88BBTCL23,88BBTCL23,F,0.01,
BSE,959473,1,74PFCL30,74PFCL30,F,0.01,
BSE,959472,1,94JMFCSL23,94JMFCSL23,F,0.01,
BSE,959471,1,875PCHFL23,875PCHFL23,F,0.01,
BSE,959470,1,695RIL23A,695RIL23A,F,0.01,
BSE,959469,1,695RIL23,695RIL23,F,0.01,
BSE,959468,1,705RIL23,705RIL23,F,0.01,
BSE,959466,1,763MMFSL23,763MMFSL23,F,0.01,
BSE,959465,1,595HUDCO23,595HUDCO23,F,0.01,
BSE,959464,1,8AHFL23,8AHFL23,F,0.01,
BSE,959463,1,775KFL23,775KFL23,F,0.01,
BSE,959462,10,USFB30APR20,USFB30APR20,F,0.01,
BSE,959461,1,755RECL30,755RECL30,F,0.01,
BSE,959460,5,68NHPCL30,68NHPCL30,F,0.01,
BSE,959459,5,68NHPCL29,68NHPCL29,F,0.01,
BSE,959458,5,68NHPCL28,68NHPCL28,F,0.01,
BSE,959457,5,68NHPCL27,68NHPCL27,F,0.01,
BSE,959456,5,68NHPC26,68NHPC26,F,0.01,
BSE,959455,1,619IRFC23,619IRFC23,F,0.01,
BSE,959454,1,716PFCL25,716PFCL25,F,0.01,
BSE,959453,1,683PFCL23,683PFCL23,F,0.01,
BSE,959451,1,91IHFL23,91IHFL23,F,0.01,
BSE,959450,1,81IIL23,81IIL23,F,0.01,
BSE,959449,1,825IIL25,825IIL25,F,0.01,
BSE,959447,1,73HDBFSL23,73HDBFSL23,F,0.01,
BSE,959446,1,678MML23,678MML23,F,0.01,
BSE,959445,1,665MML23,665MML23,F,0.01,
BSE,959444,1,698PFCL23,698PFCL23,F,0.01,
BSE,959443,1,835JPL23,835JPL23,F,0.01,
BSE,959442,1,769ABFL25,769ABFL25,F,0.01,
BSE,959441,1,757ABFL23,757ABFL23,F,0.01,
BSE,959440,10,ELL24APR20,ELL24APR20,F,0.01,
BSE,959439,1,706BFL23,706BFL23,F,0.01,
BSE,959438,1,75MMFSL23,75MMFSL23,F,0.01,
BSE,959437,1,795TSL23,795TSL23,F,0.01,
BSE,959436,1,TSL30APR20,TSL30APR20,F,0.01,
BSE,959435,2,76IHFCL25,76IHFCL25,F,0.01,
BSE,959434,2,74IHFCL23,74IHFCL23,F,0.01,
BSE,959433,1,695HDFCL23,695HDFCL23,F,0.01,
BSE,959432,1,85APSEZL30,85APSEZL30,F,0.01,
BSE,959431,1,735NHAI30,735NHAI30,F,0.01,
BSE,959428,1,74RIL25,74RIL25,F,0.01,
BSE,959427,1,609HUDCO20,609HUDCO20,F,0.01,
BSE,959426,1,TSL27APR20,TSL27APR20,F,0.01,
BSE,959425,1,775ABFL23,775ABFL23,F,0.01,
BSE,959424,1,692RECL23,692RECL23,F,0.01,
BSE,959423,1,685PGCIL25,685PGCIL25,F,0.01,
BSE,959422,1,784SMIL23,784SMIL23,F,0.01,
BSE,959421,1,785TSL23A,785TSL23A,F,0.01,
BSE,959420,1,8ABHFL23,8ABHFL23,F,0.01,
BSE,959418,1,RIL17APR20,RIL17APR20,F,0.01,
BSE,959417,1,72RIL23,72RIL23,F,0.01,
BSE,959416,1,785TSL23,785TSL23,F,0.01,
BSE,959415,1,655NTPCL23,655NTPCL23,F,0.01,
BSE,959414,1,665HUDCO23,665HUDCO23,F,0.01,
BSE,959413,1,72HDFCL23,72HDFCL23,F,0.01,
BSE,959412,1,15EPDPL30,15EPDPL30,F,0.01,
BSE,959411,1,1425EPDPL30,1425EPDPL30,F,0.01,
