Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,237364,2500,1,COPPER,COPPER21JUN22P765,21-JUN-2022,OPTFUT,PE,765,0.01,
MCX,237363,2500,1,COPPER,COPPER21JUN22C765,21-JUN-2022,OPTFUT,CE,765,0.01,
MCX,237362,2500,1,COPPER,COPPER21JUN22P760,21-JUN-2022,OPTFUT,PE,760,0.01,
MCX,237361,2500,1,COPPER,COPPER21JUN22C760,21-JUN-2022,OPTFUT,CE,760,0.01,
MCX,237360,2500,1,COPPER,COPPER21JUN22P755,21-JUN-2022,OPTFUT,PE,755,0.01,
MCX,237359,2500,1,COPPER,COPPER21JUN22C755,21-JUN-2022,OPTFUT,CE,755,0.01,
MCX,237358,2500,1,COPPER,COPPER21JUN22P750,21-JUN-2022,OPTFUT,PE,750,0.01,
MCX,237357,2500,1,COPPER,COPPER21JUN22C750,21-JUN-2022,OPTFUT,CE,750,0.01,
MCX,237356,2500,1,COPPER,COPPER21JUN22P745,21-JUN-2022,OPTFUT,PE,745,0.01,
MCX,237355,2500,1,COPPER,COPPER21JUN22C745,21-JUN-2022,OPTFUT,CE,745,0.01,
MCX,237354,2500,1,COPPER,COPPER21JUN22P740,21-JUN-2022,OPTFUT,PE,740,0.01,
MCX,237353,2500,1,COPPER,COPPER21JUN22C740,21-JUN-2022,OPTFUT,CE,740,0.01,
MCX,237304,5,1000,ZINC,ZINC29JUL22,29-JUL-2022,FUTCOM,XX,0,0.05,
MCX,237305,1,1,SILVERMIC,SILVERMIC30NOV22,30-NOV-2022,FUTCOM,XX,0,1,
MCX,237303,1500,1,NICKEL,NICKEL29JUL22,29-JUL-2022,FUTCOM,XX,0,0.1,
MCX,237300,5,1000,LEAD,LEAD29JUL22,29-JUL-2022,FUTCOM,XX,0,0.05,
MCX,237298,1,1,GOLDPETAL,GOLDPETAL30JUN22,30-JUN-2022,FUTCOM,XX,0,1,
MCX,237297,8,0.125,GOLDGUINEA,GOLDGUINEA30JUN22,30-JUN-2022,FUTCOM,XX,0,1,
MCX,237291,2500,1,COPPER,COPPER29JUL22,29-JUL-2022,FUTCOM,XX,0,0.05,
MCX,237289,5,1000,ALUMINIUM,ALUMINIUM29JUL22,29-JUL-2022,FUTCOM,XX,0,0.05,
MCX,237295,25,2.09,COTTONREF,COTTONREF30AUG22,30-AUG-2022,FUTCOM,XX,0,10,
MCX,237294,25,1,COTTON,COTTON30AUG22,30-AUG-2022,FUTCOM,XX,0,10,
MCX,233973,5,1,SILVERM,SILVERM30NOV22,30-NOV-2022,FUTCOM,XX,0,1,
MCX,233972,1,100,GOLD,GOLD05OCT22,05-OCT-2022,FUTCOM,XX,0,1,
MCX,232614,5,1,SILVERM,SILVERM21JUN22P59250,21-JUN-2022,OPTFUT,PE,59250,0.5,
MCX,232613,5,1,SILVERM,SILVERM21JUN22C59250,21-JUN-2022,OPTFUT,CE,59250,0.5,
MCX,232612,5,1,SILVERM,SILVERM21JUN22P59000,21-JUN-2022,OPTFUT,PE,59000,0.5,
MCX,232611,5,1,SILVERM,SILVERM21JUN22C59000,21-JUN-2022,OPTFUT,CE,59000,0.5,
MCX,232610,5,1,SILVERM,SILVERM21JUN22P58750,21-JUN-2022,OPTFUT,PE,58750,0.5,
MCX,232609,5,1,SILVERM,SILVERM21JUN22C58750,21-JUN-2022,OPTFUT,CE,58750,0.5,
MCX,232580,30,1,SILVER,SILVER24JUN22P58750,24-JUN-2022,OPTFUT,PE,58750,0.5,
